"filename", "language", "JavaScript", "JavaScript JSX", "CSS", "Markdown", "JSON", "HTML", "Properties", "XML", "comment", "blank", "total"
"d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\.env", "Properties", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 3
"d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\README.md", "Markdown", 0, 0, 0, 5, 0, 0, 0, 0, 0, 4, 9
"d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\eslint.config.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 0, 0, 2, 39
"d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\index.html", "HTML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 1, 14
"d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\package-lock.json", "JSON", 0, 0, 0, 0, 6038, 0, 0, 0, 0, 1, 6039
"d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\package.json", "JSON", 0, 0, 0, 0, 44, 0, 0, 0, 0, 1, 45
"d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\public\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\App.css", "CSS", 0, 0, 9, 0, 0, 0, 0, 0, 0, 4, 13
"d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\App.jsx", "JavaScript JSX", 0, 11, 0, 0, 0, 0, 0, 0, 6, 9, 26
"d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\Layout.jsx", "JavaScript JSX", 0, 79, 0, 0, 0, 0, 0, 0, 3, 23, 105
"d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\Main.css", "CSS", 0, 0, 89, 0, 0, 0, 0, 0, 82, 17, 188
"d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\Playground.css", "CSS", 0, 0, 21, 0, 0, 0, 0, 0, 0, 2, 23
"d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\Root.jsx", "JavaScript JSX", 0, 15, 0, 0, 0, 0, 0, 0, 1, 9, 25
"d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\ThemeProvider.jsx", "JavaScript JSX", 0, 22, 0, 0, 0, 0, 0, 0, 2, 8, 32
"d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\ThemeToggleButton.jsx", "JavaScript JSX", 0, 26, 0, 0, 0, 0, 0, 0, 4, 5, 35
"d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\atom\Climate.jsx", "JavaScript JSX", 0, 76, 0, 0, 0, 0, 0, 0, 4, 10, 90
"d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\atom\Emission.jsx", "JavaScript JSX", 0, 68, 0, 0, 0, 0, 0, 0, 15, 9, 92
"d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\atom\Palestinian.jsx", "JavaScript JSX", 0, 87, 0, 0, 0, 0, 0, 0, 4, 6, 97
"d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\atom\Preference.jsx", "JavaScript JSX", 0, 153, 0, 0, 0, 0, 0, 0, 7, 19, 179
"d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\atom\Starvation.jsx", "JavaScript JSX", 0, 39, 0, 0, 0, 0, 0, 0, 0, 7, 46
"d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\atom\Ukraine.jsx", "JavaScript JSX", 0, 79, 0, 0, 0, 0, 0, 0, 2, 7, 88
"d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\atom\Water.jsx", "JavaScript JSX", 0, 68, 0, 0, 0, 0, 0, 0, 1, 11, 80
"d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\atom\data.jsx", "JavaScript JSX", 0, 818, 0, 0, 0, 0, 0, 0, 0, 0, 818
"d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\components\Analytic.jsx", "JavaScript JSX", 0, 124, 0, 0, 0, 0, 0, 0, 6, 26, 156
"d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\components\Climate.jsx", "JavaScript JSX", 0, 14, 0, 0, 0, 0, 0, 0, 0, 3, 17
"d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\components\Conflict.jsx", "JavaScript JSX", 0, 11, 0, 0, 0, 0, 0, 0, 0, 3, 14
"d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\components\Diary.jsx", "JavaScript JSX", 0, 191, 0, 0, 0, 0, 0, 0, 0, 31, 222
"d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\components\DiaryDetail.jsx", "JavaScript JSX", 0, 8, 0, 0, 0, 0, 0, 0, 0, 7, 15
"d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\components\Interaction.jsx", "JavaScript JSX", 0, 122, 0, 0, 0, 0, 0, 0, 0, 24, 146
"d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\components\Mini.jsx", "JavaScript JSX", 0, 159, 0, 0, 0, 0, 0, 0, 5, 18, 182
"d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\components\MiniDetail.jsx", "JavaScript JSX", 0, 117, 0, 0, 0, 0, 0, 0, 3, 15, 135
"d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\components\Navbar.jsx", "JavaScript JSX", 0, 30, 0, 0, 0, 0, 0, 0, 2, 10, 42
"d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\components\News.jsx", "JavaScript JSX", 0, 69, 0, 0, 0, 0, 0, 0, 2, 13, 84
"d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\components\ProfileCard.jsx", "JavaScript JSX", 0, 141, 0, 0, 0, 0, 0, 0, 123, 38, 302
"d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\components\Reminder.jsx", "JavaScript JSX", 0, 124, 0, 0, 0, 0, 0, 0, 13, 19, 156
"d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\components\ReminderNotification.jsx", "JavaScript JSX", 0, 79, 0, 0, 0, 0, 0, 0, 12, 16, 107
"d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\components\Statistic.jsx", "JavaScript JSX", 0, 21, 0, 0, 0, 0, 0, 0, 0, 5, 26
"d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\components\TimeStatisticChart.jsx", "JavaScript JSX", 0, 98, 0, 0, 0, 0, 0, 0, 7, 14, 119
