Date : 2024-10-24 11:52:48
Directory : d:\Naufal\Nanady\presentation\Lomba-USB-Frontend
Total : 93 files,  12768 codes, 1102 comments, 1150 blanks, all 15020 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| JSON           |          2 |      6,082 |          0 |          2 |      6,084 |
| JavaScript JSX |         59 |      5,698 |        988 |        931 |      7,617 |
| CSS            |         24 |        894 |        112 |        205 |      1,211 |
| JavaScript     |          4 |         72 |          2 |          7 |         81 |
| HTML           |          1 |         13 |          0 |          1 |         14 |
| Markdown       |          1 |          5 |          0 |          4 |          9 |
| Properties     |          1 |          3 |          0 |          0 |          3 |
| XML            |          1 |          1 |          0 |          0 |          1 |
+----------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                       | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                          |         93 |     12,768 |      1,102 |      1,150 |     15,020 |
| . (Files)                                                                                                  |          9 |      6,175 |          2 |         14 |      6,191 |
| public                                                                                                     |          1 |          1 |          0 |          0 |          1 |
| src                                                                                                        |         83 |      6,592 |      1,100 |      1,136 |      8,828 |
| src (Files)                                                                                                |          9 |        345 |        116 |         99 |        560 |
| src\atom                                                                                                   |          8 |      1,388 |         33 |         69 |      1,490 |
| src\components                                                                                             |         52 |      4,184 |        901 |        840 |      5,925 |
| src\components (Files)                                                                                     |         18 |      1,848 |        203 |        307 |      2,358 |
| src\components\styles                                                                                      |         10 |        353 |         15 |         94 |        462 |
| src\components\user                                                                                        |         24 |      1,983 |        683 |        439 |      3,105 |
| src\components\user (Files)                                                                                |          5 |        586 |        182 |        110 |        878 |
| src\components\user\components                                                                             |         13 |      1,203 |        499 |        291 |      1,993 |
| src\components\user\components (Files)                                                                     |          8 |        977 |        486 |        236 |      1,699 |
| src\components\user\components\atom                                                                        |          2 |         64 |          6 |         20 |         90 |
| src\components\user\components\styles                                                                      |          3 |        162 |          7 |         35 |        204 |
| src\components\user\styles                                                                                 |          6 |        194 |          2 |         38 |        234 |
| src\hooks                                                                                                  |          2 |         45 |          5 |         16 |         66 |
| src\pages                                                                                                  |         12 |        630 |         45 |        112 |        787 |
| src\pages (Files)                                                                                          |          9 |        551 |         39 |         93 |        683 |
| src\pages\styles                                                                                           |          3 |         79 |          6 |         19 |        104 |
+------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                                   | language       | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\.env                                                      | Properties     |          3 |          0 |          0 |          3 |
| d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\README.md                                                 | Markdown       |          5 |          0 |          4 |          9 |
| d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\eslint.config.js                                          | JavaScript     |         37 |          0 |          2 |         39 |
| d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\index.html                                                | HTML           |         13 |          0 |          1 |         14 |
| d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\package-lock.json                                         | JSON           |      6,038 |          0 |          1 |      6,039 |
| d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\package.json                                              | JSON           |         44 |          0 |          1 |         45 |
| d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\postcss.config.js                                         | JavaScript     |          6 |          0 |          1 |          7 |
| d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\public\vite.svg                                           | XML            |          1 |          0 |          0 |          1 |
| d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\App.css                                               | CSS            |          9 |          0 |          4 |         13 |
| d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\App.jsx                                               | JavaScript JSX |         11 |          6 |          9 |         26 |
| d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\Layout.jsx                                            | JavaScript JSX |         79 |          3 |         23 |        105 |
| d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\Main.css                                              | CSS            |         89 |         82 |         17 |        188 |
| d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\Playground.css                                        | CSS            |         21 |          0 |          2 |         23 |
| d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\Root.jsx                                              | JavaScript JSX |         15 |          1 |          9 |         25 |
| d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\ThemeProvider.jsx                                     | JavaScript JSX |         22 |          2 |          8 |         32 |
| d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\ThemeToggleButton.jsx                                 | JavaScript JSX |         26 |          4 |          5 |         35 |
| d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\atom\Climate.jsx                                      | JavaScript JSX |         76 |          4 |         10 |         90 |
| d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\atom\Emission.jsx                                     | JavaScript JSX |         68 |         15 |          9 |         92 |
| d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\atom\Palestinian.jsx                                  | JavaScript JSX |         87 |          4 |          6 |         97 |
| d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\atom\Preference.jsx                                   | JavaScript JSX |        153 |          7 |         19 |        179 |
| d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\atom\Starvation.jsx                                   | JavaScript JSX |         39 |          0 |          7 |         46 |
